gene,orf name,description,functional category,slide(s),mating type,source of deletion mutant(s),primary Hybset(s),responsive/non-responsive,"nr. sign. changes (p<0.05, FC>1.7)",profile first published
DMA2,YNL116W,"Ubiquitin-protein ligase (E3); controls septin dynamics and the spindle position checkpoint (SPOC) along with functionally redundant ligase Dma1p by regulating the recruitment of Elm1p to the bud neck; regulates levels of the translation initiation factor eIF2 subunit Gcd11p, as well as abundance, localization, and ubiquitination of Cdk inhibitory kinase Swe1p; ortholog of human RNF8 protein, with sequence similarity to human Chfr; contains FHA and RING finger domains",cell cycle regulation,TLS_00001510_S01 / TLS_00001511_S01,MATalpha,Euroscarf / Euroscarf,TLS011 / TLS011,non-responsive mutant,0,This study
CIN4,YMR138W,"GTP-binding protein involved in beta-tubulin (Tub2p) folding; isolated as mutant with increased chromosome loss and sensitivity to benomyl; regulated by the GTPase-activating protein, Cin2p, the human retinitis pigmentosa 2 (RP2) homolog",cell cycle regulation,JBE_00009283_S01 / JBE_00009744_S01,MATalpha,Open Biosystems / Open Biosystems,HTP039 / HTP039,non-responsive mutant,0,This study
CIN8,YEL061C,Kinesin motor protein involved in mitotic spindle assembly and chromosome segregation,cell cycle regulation,JBE_00009262_S01 / TLS_00009866_S01,MATalpha,Euroscarf / Euroscarf,HTP082 / HTP082,responsive mutant,33,This study
CLB1,YGR108W,"B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the transition from G2 to M phase; accumulates during G2 and M, then targeted via a destruction box motif for ubiquitin-mediated degradation by the proteasome",cell cycle regulation,JBE_00010610_S01 / JBE_00010611_S01,MATalpha,Open Biosystems / Open Biosystems,HTP118 / HTP118,responsive mutant,12,This study
CLB2,YPR119W,"B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the transition from G2 to M phase; accumulates during G2 and M, then targeted via a destruction box motif for ubiquitin-mediated degradation by the proteasome",cell cycle regulation,JBE_00009029_S01 / TLS_00009708_S01,MATalpha,Open Biosystems / Open Biosystems,HTP057 / HTP057,responsive mutant,7,This study
CLB3,YDL155W,"B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2, then targeted for ubiquitin-mediated degradation",cell cycle regulation,JBE_00008509_S01,MATalpha,Open Biosystems,HTP038,non-responsive mutant,1,This study
CLB4,YLR210W,"B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2, then targeted for ubiquitin-mediated degradation",cell cycle regulation,JBE_00009324_S01 / JBE_00010577_S01,MATalpha,Open Biosystems / Open Biosystems,HTP055 / HTP055,non-responsive mutant,3,This study
CLB5,YPR120C,B-type cyclin involved in DNA replication during S phase; activates Cdc28p to promote initiation of DNA synthesis; functions in formation of mitotic spindles along with Clb3p and Clb4p; most abundant during late G1 phase,cell cycle regulation,JBE_00009031_S01 / TLS_00009710_S01,MATalpha,Open Biosystems / Open Biosystems,HTP057 / HTP057,responsive mutant,12,This study
CLB6,YGR109C,B-type cyclin involved in DNA replication during S phase; activates Cdc28p to promote initiation of DNA synthesis; functions in formation of mitotic spindles along with Clb3p and Clb4p; most abundant during late G1,cell cycle regulation,JBE_00009327_S01,MATalpha,Open Biosystems,HTP055,non-responsive mutant,0,This study
CLN1,YMR199W,"G1 cyclin involved in regulation of the cell cycle; activates Cdc28p kinase to promote the G1 to S phase transition; late G1 specific expression depends on transcription factor complexes, MBF (Swi6p-Mbp1p) and SBF (Swi6p-Swi4p)",cell cycle regulation,JBE_00008421_S01,MATalpha,Open Biosystems,HTP029,non-responsive mutant,1,This study
CLN2,YPL256C,"G1 cyclin involved in regulation of the cell cycle; activates Cdc28p kinase to promote the G1 to S phase transition; late G1 specific expression depends on transcription factor complexes, MBF (Swi6p-Mbp1p) and SBF (Swi6p-Swi4p)",cell cycle regulation,JBE_00008652_S01 / JBE_00009150_S01,MATalpha,Open Biosystems / Open Biosystems,HTP029 / HTP029,responsive mutant,6,This study
CLN3,YAL040C,"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis",cell cycle regulation,TLS_00009778_S01 / JBE_00010435_S01,MATalpha,Euroscarf / Euroscarf,HTP099 / HTP099,responsive mutant,7,This study
CNN1,YFR046C,"Kinetochore protein of unknown function; associated with the essential kinetochore proteins Nnf1p and Spc24p; phosphorylated by both Clb5-Cdk1 and, to a lesser extent, Clb2-Cdk1.",cell cycle regulation,JBE_00009034_S01,MATalpha,Open Biosystems,HTP057,non-responsive mutant,1,This study
CSM3,YMR048W,"Replication fork associated factor, required for stable replication fork pausing; component of the DNA replication checkpoint pathway; required for accurate chromosome segregation during meiosis",cell cycle regulation,JBE_00009414_S01 / JBE_00009747_S01,MATalpha,Open Biosystems / Open Biosystems,HTP061 / HTP061,responsive mutant,4,This study
CTF19,YPL018W,"Outer kinetochore protein, required for accurate mitotic chromosome segregation; component of the kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p) that functions as a platform for kinetochore assembly",cell cycle regulation,JBE_00009028_S01 / TLS_00009691_S01,MATalpha,Open Biosystems / Open Biosystems,HTP057 / HTP057,responsive mutant,12,This study
CTF3,YLR381W,Outer kinetochore protein that forms a complex with Mcm16p and Mcm22p; may bind the kinetochore to spindle microtubules,cell cycle regulation,JBE_00008944_S01,MATalpha,Open Biosystems,HTP062,non-responsive mutant,2,This study
DCR2,YLR361C,"Phosphoesterase involved in downregulation of the unfolded protein response, at least in part via dephosphorylation of Ire1p; dosage-dependent positive regulator of the G1/S phase transition through control of the timing of START",cell cycle regulation,SV_00007569_S01 / SV_00007570_S01,MATalpha,Open Biosystems / Open Biosystems,SV085 / SV085,non-responsive mutant,2,This study
DDC1,YPL194W,"DNA damage checkpoint protein, part of a PCNA-like complex required for DNA damage response, required for pachytene checkpoint to inhibit cell cycle in response to unrepaired recombination intermediates; potential Cdc28p substrate",cell cycle regulation,JBE_00009308_S01,MATalpha,Open Biosystems,HTP054,non-responsive mutant,0,This study
DOC1,YGL240W,"Processivity factor required for the ubiquitination activity of the anaphase promoting complex (APC), mediates the activity of the APC by contributing to substrate recognition; involved in cyclin proteolysis; contains a conserved DOC1 homology domain",cell cycle regulation,THM_00005774_S01 / THM_00005775_S01,MATalpha,Open Biosystems / Open Biosystems,THM007 / THM007,responsive mutant,177,This study
DYN1,YKR054C,"Cytoplasmic heavy chain dynein, microtubule motor protein, required for anaphase spindle elongation; involved in spindle assembly, chromosome movement, and spindle orientation during cell division, targeted to microtubule tips by Pac1p",cell cycle regulation,JBE_00008864_S01,MATalpha,Open Biosystems,HTP058,non-responsive mutant,2,This study
ESC2,YDR363W,"Sumo-like domain protein; prevents accumulation of toxic intermediates during replication-associated recombinational repair; roles in silencing, lifespan, chromatid cohesion and the intra-S-phase DNA damage checkpoint; RENi family member",cell cycle regulation,MMK_00007651_S01 / MMK_00007652_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",MMK032 / MMK032,responsive mutant,76,This study
FAR1,YJL157C,"Cyclin-dependent kinase inhibitor that mediates cell cycle arrest in response to pheromone; also forms a complex with Cdc24p, Ste4p, and Ste18p that may specify the direction of polarized growth during mating; potential Cdc28p substrate",cell cycle regulation,TLS_00001512_S01 / TLS_00001513_S01,MATalpha,Euroscarf / Euroscarf,TLS011 / TLS011,non-responsive mutant,0,This study
FIN1,YDR130C,Spindle pole body-related intermediate filament protein; forms cell cycle-specific filaments between spindle pole bodies in dividing cells; localizes to poles and microtubules of spindle during anaphase and contributes to spindle stability; involved in Glc7p localization and regulation,cell cycle regulation,JBE_00009505_S01 / JBE_00010394_S01,MATalpha,Open Biosystems / Open Biosystems,HTP073 / HTP117,responsive mutant,10,This study
FPR3,YML074C,Nucleolar peptidyl-prolyl cis-trans isomerase (PPIase); FK506 binding protein; phosphorylated by casein kinase II (Cka1p-Cka2p-Ckb1p-Ckb2p) and dephosphorylated by Ptp1p,cell cycle regulation,JBE_00008479_S01,MATalpha,Open Biosystems,HTP035,non-responsive mutant,0,This study
GRR1,YJR090C,"F-box protein component of the SCF ubiquitin-ligase complex; involved in carbon catabolite repression, glucose-dependent divalent cation transport, high-affinity glucose transport, morphogenesis, and sulfite detoxification",cell cycle regulation,JBE_00008955_S01 / JBE_00008956_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",HTP065 / HTP065,responsive mutant,562,4
HOP1,YIL072W,Meiosis-specific DNA binding protein that displays Red1p dependent localization to the unsynapsed axial-lateral elements of the synaptonemal complex; required for homologous chromosome synapsis and chiasma formation,cell cycle regulation,JBE_00008358_S01,MATalpha,Open Biosystems,HTP034,non-responsive mutant,1,This study
HUG1,YML058W-A,"Protein involved in the Mec1p-mediated checkpoint pathway that responds to DNA damage or replication arrest, transcription is induced by DNA damage",cell cycle regulation,JBE_00009427_S01,MATalpha,Open Biosystems,HTP063,non-responsive mutant,1,This study
XRN1,YGL173C,"Evolutionarily-conserved 5'-3' exonuclease component of cytoplasmic processing (P) bodies involved in mRNA decay; plays a role in microtubule-mediated processes, filamentous growth, ribosomal RNA maturation, and telomere maintenance; activated by the scavenger decapping enzyme Dcs1p",cell cycle regulation,JBE_00010005_S01 / JBE_00010004_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",HTP104 / HTP104,responsive mutant,1009,This study
KIP1,YBL063W,"Kinesin-related motor protein required for mitotic spindle assembly, chromosome segregation, and 2 micron plasmid partitioning; functionally redundant with Cin8p for chromosomal but not plasmid functions",cell cycle regulation,JBE_00009035_S01,MATalpha,Open Biosystems,HTP057,non-responsive mutant,0,This study
KIP2,YPL155C,"Kinesin-related motor protein involved in mitotic spindle positioning, stabilizes microtubules by targeting Bik1p to the plus end; Kip2p levels are controlled during the cell cycle",cell cycle regulation,JBE_00009525_S01,MATalpha,Open Biosystems,HTP096,non-responsive mutant,0,This study
KIP3,YGL216W,Kinesin-related motor protein involved in mitotic spindle positioning,cell cycle regulation,JBE_00009011_S01,MATalpha,Open Biosystems,HTP056,non-responsive mutant,0,This study
LTE1,YAL024C,Protein similar to GDP/GTP exchange factors but without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures,cell cycle regulation,JBE_00008487_S01,MATalpha,Open Biosystems,HTP036,non-responsive mutant,0,This study
MAD1,YGL086W,Coiled-coil protein involved in the spindle-assembly checkpoint; phosphorylated by Mps1p upon checkpoint activation which leads to inhibition of the activity of the anaphase promoting complex; forms a complex with Mad2p,cell cycle regulation,JBE_00009030_S01,MATalpha,Open Biosystems,HTP057,non-responsive mutant,1,This study
MAD2,YJL030W,Component of the spindle-assembly checkpoint complex; delays the onset of anaphase in cells with defects in mitotic spindle assembly; forms a complex with Mad1p; regulates APC/C activity during prometaphase and metaphase of meiosis I,cell cycle regulation,JBE_00008887_S01,MATalpha,Open Biosystems,HTP059,non-responsive mutant,0,This study
MAD3,YJL013C,"Subunit of the spindle-assembly checkpoint complex, which delays anaphase onset in cells with defects in mitotic spindle assembly; pseudosubstrate inhibitor of APC(Cdc20), the anaphase promoting complex involved in securin (Pds1p) turnover",cell cycle regulation,JBE_00008841_S01,MATalpha,Open Biosystems,HTP060,non-responsive mutant,0,This study
MCM16,YPR046W,Protein involved in kinetochore-microtubule mediated chromosome segregation; binds to centromere DNA,cell cycle regulation,JBE_00008886_S01 / TLS_00009676_S01,MATalpha,Open Biosystems / Open Biosystems,HTP059 / HTP059,non-responsive mutant,3,This study
MCM21,YDR318W,"Protein involved in minichromosome maintenance; component of the COMA complex (Ctf19p, Okp1p, Mcm21p, Ame1p) that bridges kinetochore subunits that are in contact with centromeric DNA and the subunits bound to microtubules",cell cycle regulation,JBE_00008868_S01 / TLS_00009669_S01,MATalpha,Open Biosystems / Open Biosystems,HTP058 / HTP058,responsive mutant,7,This study
MCM22,YJR135C,Protein involved in minichromosome maintenance; component of the kinetochore; binds to centromeric DNA in a Ctf19p-dependent manner,cell cycle regulation,JBE_00008888_S01,MATalpha,Open Biosystems,HTP059,non-responsive mutant,2,This study
MEC3,YLR288C,"DNA damage and meiotic pachytene checkpoint protein; subunit of a heterotrimeric complex (Rad17p-Mec3p-Ddc1p) that forms a sliding clamp, loaded onto partial duplex DNA by a clamp loader complex; homolog of human and S. pombe Hus1",cell cycle regulation,JBE_00009008_S01 / TLS_00009683_S01,MATalpha,Open Biosystems / Open Biosystems,HTP056 / HTP056,non-responsive mutant,2,This study
MMS4,YBR098W,"Subunit of the structure-specific Mms4p-Mus81p endonuclease that cleaves branched DNA; involved in recombination, DNA repair, and joint molecule formation/resolution during meiotic recombination; phosphorylation of the non-catalytic subunit Mms4p by Cdc28p and Cdcp during mitotic cell cycle activates the function of Mms4p-Mus81p",cell cycle regulation,JBE_00009416_S01 / JBE_00009749_S01,MATalpha,Open Biosystems / Open Biosystems,HTP061 / HTP061,responsive mutant,4,This study
MND2,YIR025W,Subunit of the anaphase-promoting complex (APC); necessary for maintaining sister chromatid cohesion in prophase I of meiosis by inhibiting premature ubiquitination and subsequent degradation of substrates by the APC(Ama1) ubiquitin ligase,cell cycle regulation,THM_00005776_S01 / THM_00005777_S01,MATalpha,Open Biosystems / Open Biosystems,THM007 / THM007,non-responsive mutant,1,This study
MRC1,YCL061C,"S-phase checkpoint protein required for DNA replication; interacts with and stabilizes Pol2p at stalled replication forks during stress, where it forms a pausing complex with Tof1p and is phosphorylated by Mec1p; protects uncapped telomeres",cell cycle regulation,JBE_00009562_S01 / JBE_00010102_S01,MATalpha,Open Biosystems / Open Biosystems,HTP083 / HTP083,responsive mutant,20,This study
NDJ1,YOL104C,"Meiosis-specific telomere protein, required for bouquet formation, effective homolog pairing, ordered cross-over distribution, sister chromatid cohesion at meiotic telomeres, chromosomal segregation and telomere-led rapid prophase movement",cell cycle regulation,JBE_00008478_S01,MATalpha,Open Biosystems,HTP035,non-responsive mutant,0,This study
NKP1,YDR383C,"Non-essential kinetochore protein, subunit of the Ctf19 central kinetochore complex (Ctf19p-Mcm21p-Okp1p-Mcm22p-Mcm16p-Ctf3p-Chl4p-Mcm19p-Nkp1p-Nkp2p-Ame1p-Mtw1p)",cell cycle regulation,JBE_00009314_S01,MATalpha,Open Biosystems,HTP054,non-responsive mutant,0,This study
NKP2,YLR315W,"Non-essential kinetochore protein, subunit of the Ctf19 central kinetochore complex (Ctf19p-Mcm21p-Okp1p-Mcm22p-Mcm16p-Ctf3p-Chl4p-Mcm19p-Nkp1p-Nkp2p-Ame1p-Mtw1p)",cell cycle regulation,JBE_00009009_S01 / TLS_00009704_S01,MATalpha,Open Biosystems / Open Biosystems,HTP056 / HTP056,responsive mutant,22,This study
OPY2,YPR075C,Integral membrane protein that functions in the signaling branch of the high-osmolarity glycerol (HOG) pathway; interacts with Ste50p; overproduction blocks cell cycle arrest in the presence of mating pheromone,cell cycle regulation,JBE_00010207_S01 / JBE_00010206_S01,MATalpha,Open Biosystems / Open Biosystems,HTP108 / HTP108,non-responsive mutant,0,This study
PAC11,YDR488C,"Dynein intermediate chain, acts in the cytoplasmic dynein pathway, forms cortical cytoplasmic microtubule capture site with Num1p; null mutant is defective in nuclear migration, essential in the absence of CIN8",cell cycle regulation,JBE_00009288_S01,MATalpha,Open Biosystems,HTP039,non-responsive mutant,1,This study
PAC1,YOR269W,"Protein involved in nuclear migration, part of the dynein/dynactin pathway; targets dynein to microtubule tips, which is necessary for sliding of microtubules along bud cortex; synthetic lethal with bni1; homolog of human LIS1",cell cycle regulation,JBE_00009284_S01,MATalpha,Open Biosystems,HTP039,non-responsive mutant,0,This study
PCH2,YBR186W,"Nucleolar component of the pachytene checkpoint, which prevents chromosome segregation when recombination and chromosome synapsis are defective; also represses meiotic interhomolog recombination in the rDNA; required for meiotic double-stranded break formation",cell cycle regulation,JBE_00009590_S01,MATalpha,Open Biosystems,HTP083,non-responsive mutant,0,This study
PCL10,YGL134W,"Pho85p cyclin; recruits, activates, and targets Pho85p cyclin-dependent protein kinase to its substrate",cell cycle regulation,JBE_00009187_S01,MATalpha,Open Biosystems,HTP089,non-responsive mutant,0,This study
PCL1,YNL289W,"Cyclin, interacts with cyclin-dependent kinase Pho85p; member of the Pcl1,2-like subfamily, involved in the regulation of polarized growth and morphogenesis and progression through the cell cycle; localizes to sites of polarized cell growth",cell cycle regulation,JBE_00009298_S01,MATalpha,Open Biosystems,HTP053,non-responsive mutant,0,This study
PCL2,YDL127W,"Cyclin, interacts with cyclin-dependent kinase Pho85p; member of the Pcl1,2-like subfamily, involved in the regulation of polarized growth and morphogenesis and progression through the cell cycle; localizes to sites of polarized cell growth",cell cycle regulation,JBE_00008843_S01 / JBE_00010123_S01,MATalpha,Open Biosystems / Open Biosystems,HTP060 / HTP060,non-responsive mutant,1,This study
PCL9,YDL179W,"Cyclin, forms a functional kinase complex with Pho85p cyclin-dependent kinase (Cdk), expressed in late M/early G1 phase, activated by Swi5p",cell cycle regulation,JBE_00008510_S01,MATalpha,Open Biosystems,HTP038,non-responsive mutant,0,This study
PHO80,YOL001W,"Cyclin, interacts with cyclin-dependent kinase Pho85p; regulates the response to nutrient levels and environmental conditions, including the response to phosphate limitation and stress-dependent calcium signaling",cell cycle regulation,EA_00004388_S01 / EA_00004387_S01,MATalpha,Open Biosystems / Open Biosystems,EA028 / EA028,responsive mutant,4,This study
PIN4,YBL051C,"Protein involved in G2/M phase progression and response to DNA damage, interacts with Rad53p; contains an RNA recognition motif, a nuclear localization signal, and several SQ/TQ cluster domains; hyperphosphorylated in response to DNA damage",cell cycle regulation,JBE_00009512_S01 / JBE_00010107_S01,MATalpha,Open Biosystems / Open Biosystems,HTP087 / HTP087,responsive mutant,16,This study
RAD17,YOR368W,"Checkpoint protein, involved in the activation of the DNA damage and meiotic pachytene checkpoints; with Mec3p and Ddc1p, forms a clamp that is loaded onto partial duplex DNA; homolog of human and S. pombe Rad1 and U. maydis Rec1 proteins",cell cycle regulation,JBE_00009306_S01 / JBE_00009763_S01,MATalpha,Open Biosystems / Open Biosystems,HTP054 / HTP054,non-responsive mutant,1,This study
RAD24,YER173W,"Checkpoint protein, involved in the activation of the DNA damage and meiotic pachytene checkpoints; subunit of a clamp loader that loads Rad17p-Mec3p-Ddc1p onto DNA; homolog of human and S. pombe Rad17 protein",cell cycle regulation,JBE_00009424_S01,MATalpha,Open Biosystems,HTP061,non-responsive mutant,1,This study
RAD9,YDR217C,"DNA damage-dependent checkpoint protein, required for cell-cycle arrest in G1/S, intra-S, and G2/M; transmits checkpoint signal by activating Rad53p and Chk1p; hyperphosphorylated by Mec1p and Tel1p; potential Cdc28p substrate",cell cycle regulation,JBE_00009007_S01,MATalpha,Open Biosystems,HTP056,non-responsive mutant,1,This study
RED1,YLR263W,"Protein component of the synaptonemal complex axial elements, involved in chromosome segregation during the first meiotic division; critical for coupling checkpoint signaling to SC formation; interacts with Hop1p, Mec3p and Ddc1p",cell cycle regulation,JBE_00009455_S01,MATalpha,Open Biosystems,HTP068,non-responsive mutant,0,This study
RMI1,YPL024W,Subunit of the RecQ (Sgs1p) - Topo III (Top3p) complex; stimulates superhelical relaxing and ssDNA binding activities of Top3p; involved in response to DNA damage; null mutants display increased rates of recombination and delayed S phase,cell cycle regulation,JBE_00009261_S01 / TLS_00009859_S01,MATalpha,Euroscarf / Euroscarf,HTP082 / HTP082,responsive mutant,55,This study
RTS1,YOR014W,B-type regulatory subunit of protein phosphatase 2A (PP2A); Rts1p and Cdc55p are alternative regulatory subunits for PP2A; PP2A-Rts1p protects cohesin when recruited by Sgo1p to the pericentromere; highly enriched at centromeres in absence of Cdc55p; homolog of the mammalian B' subunit of PP2A,cell cycle regulation,SV_00007011_S01 / SV_00007012_S01,MATalpha,Euroscarf / Euroscarf,SV079 / SV079,responsive mutant,41,This study
SEM1,YDR363W-A,Component of the lid subcomplex of the regulatory subunit of the 26S proteasome; involved in mRNA export mediated by the TREX-2 complex (Sac3p-Thp1p); ortholog of human DSS1,cell cycle regulation,MMK_00005239_S01 / MMK_00005240_S01,MATalpha,Open Biosystems / Open Biosystems,MMK012 / MMK012,responsive mutant,53,This study
SGS1,YMR190C,Nucleolar DNA helicase of the RecQ family; involved in genome integrity maintenance; regulates chromosome synapsis and meiotic joint molecule/crossover formation; potential role as repressor of a subset of rapamycin responsive genes; rapidly lost in response to rapamycin in Rrd1p-dependent manner; similar to human BLM and WRN proteins implicated in Bloom and Werner syndromes,cell cycle regulation,JBE_00009054_S01 / JBE_00009738_S01,MATalpha,Open Biosystems / Open Biosystems,HTP079 / HTP079,responsive mutant,55,This study
SMI1,YGR229C,Protein involved in the regulation of cell wall synthesis; proposed to be involved in coordinating cell cycle progression with cell wall integrity,cell cycle regulation,JBE_00009461_S01 / JBE_00010021_S01,MATalpha,Open Biosystems / Open Biosystems,HTP069 / HTP069,responsive mutant,23,This study
SNF3,YDL194W,Plasma membrane low glucose sensor that regulates glucose transport; contains 12 predicted transmembrane segments and a long C-terminal tail required for induction of hexose transporters; also senses fructose and mannose; similar to Rgt2p,cell cycle regulation,EA_00005263_S01 / EA_00005264_S01,MATalpha,Euroscarf / Euroscarf,EA013 / EA013,non-responsive mutant,0,4
SPO12,YHR152W,"Nucleolar protein of unknown function, positive regulator of mitotic exit; involved in regulating release of Cdc14p from the nucleolus in early anaphase, may play similar role in meiosis",cell cycle regulation,JBE_00009450_S01,MATalpha,Open Biosystems,HTP068,non-responsive mutant,0,This study
SPO13,YHR014W,"Meiosis-specific protein, involved in maintaining sister chromatid cohesion during meiosis I as well as promoting proper attachment of kinetochores to the spindle during meiosis I and meiosis II",cell cycle regulation,JBE_00008899_S01 / JBE_00009536_S01,MATalpha,Open Biosystems / Open Biosystems,HTP031 / HTP098,non-responsive mutant,0,This study
SRC1,YML034W,Inner nuclear membrane protein; functions in regulation of subtelomeric genes and is linked to TREX (transcription export) factors; SRC1 produces 2 splice variant proteins with different functions; alternative splicing of SRC1 pre-mRNA is promoted by Hub1p; mutant has aneuploidy tolerance,cell cycle regulation,TLS_00006835_S01 / TLS_00006836_S01,MATalpha,Open Biosystems / Open Biosystems,TLS030 / TLS030,non-responsive mutant,3,This study
STE50,YCL032W,"Protein involved in mating response, invasive/filamentous growth, and osmotolerance, acts as an adaptor that links G protein-associated Cdc42p-Ste20p complex to the effector Ste11p to modulate signal transduction",cell cycle regulation,TLS_00009654_S01 / JBE_00010103_S01,MATalpha,Open Biosystems / Open Biosystems,HTP086 / HTP086,responsive mutant,29,This study
SWM1,YDR260C,"Subunit of the anaphase-promoting complex, which is an E3 ubiquitin ligase that regulates the metaphase-anaphase transition and exit from mitosis; required for activation of the daughter-specific gene expression and spore wall maturation",cell cycle regulation,THM_00005772_S01 / THM_00005773_S01,MATalpha,Open Biosystems / Open Biosystems,THM007 / THM007,responsive mutant,21,This study
TOF1,YNL273W,"Subunit of a replication-pausing checkpoint complex (Tof1p-Mrc1p-Csm3p) that acts at the stalled replication fork to promote sister chromatid cohesion after DNA damage, facilitating gap repair of damaged DNA; interacts with the MCM helicase",cell cycle regulation,MBR_00011116_S01 / MBR_00011117_S01,MATalpha,Open Biosystems / Open Biosystems,HTP136 / HTP136,non-responsive mutant,3,This study
TOF2,YKR010C,Protein required for rDNA silencing and mitotic rDNA condensation; stimulates Cdc14p phosphatase activity and biphasic release to promote rDNA repeat segregation; required for condensin recruitment to the replication fork barrier site,cell cycle regulation,JBE_00008847_S01,MATalpha,Open Biosystems,HTP060,non-responsive mutant,0,This study
VIK1,YPL253C,"Protein that forms a complex with Kar3p at the spindle pole body, possible regulator of Kar3p function in microtubule-mediated processes; required for sister chromatid cohesion; has similarity to Cik1p",cell cycle regulation,JBE_00008653_S01,MATalpha,Open Biosystems,HTP029,non-responsive mutant,0,This study
YBP2,YGL060W,Central kinetochore associated protein that mediates mitotic progression; interacts with several central kinetochore proteins and the centromeric histone Cse4p; role in resistance to oxidative stress; similarity to Ybp1p and Slk19p,cell cycle regulation,JBE_00009036_S01 / JBE_00010043_S01,MATalpha,Open Biosystems / Open Biosystems,HTP057 / HTP057,responsive mutant,4,This study
